	completeness	contamination	GC	lineage	N50	size
1192-922	0.0	0.0	0.4	root	2738	2738
554-348	0.0	0.0	0.274	root	1840	6002
615-402	0.0	0.0	0.476	root	1727	1727
1143-879	0.0	0.0	0.371	root	1621	1621
721-499	0.0	0.0	0.378	root	2195	2195
1080-821	0.783	0.0	0.419	Bacteria	2938	4833
1002-751	0.0	0.0	0.355	root	7349	32887
457-260	0.0	0.0	0.354	root	54442	86044
306-1276	0.0	0.0	0.332	root	1775	1775
957-710	0.0	0.0	0.333	root	1998	11991
200-1180	0.0	0.0	0.347	root	7871	7871
216-1195	0.0	0.0	0.495	root	2418	2418
931-688	0.0	0.0	0.384	root	1845	1845
1097-837	0.0	0.0	0.401	root	1919	1919
1059-802	0.0	0.0	0.407	root	3432	65154
1213-941	0.0	0.0	0.505	root	1506	1506
1190-920	0.0	0.0	0.35	root	1880	10414
293-1264	0.0	0.0	0.373	root	1523	1523
750-524	1.92	0.0	0.529	Clostridiales	2688	239390
81-1073	0.0	0.0	0.255	root	2623	2623
432-238	0.0	0.0	0.312	root	2366	20050
37-1033	0.0	0.0	0.537	root	1755	1755
1037-783	0.0	0.0	0.401	root	2652	39717
79-1071	0.0	0.0	0.377	root	1729	1729
608-397	0.0	0.0	0.541	root	2929	8340
557-350	0.0	0.0	0.452	root	2810	30527
580-371	0.0	0.0	0.448	root	5218	89480
1263-987	0.0	0.0	0.49	root	2194	2194
424-230	0.0	0.0	0.422	root	2043	15399
1259-983	0.0	0.0	0.381	root	1771	1771
365-178	0.0	0.0	0.491	root	2446	23119
1-1000	0.0	0.0	0.291	root	3924	7442
1270-993	0.0	0.0	0.365	root	1542	1542
160-1144	0.0	0.0	0.433	root	1647	6651
355-169	28.15	0.0	0.291	Bacteria	2173	309656
1206-935	0.0	0.0	0.35	root	2157	2157
977-729	0.0	0.0	0.341	root	3992	5974
641-426	0.0	0.0	0.377	root	1786	17819
320-137	0.0	0.0	0.213	root	1865	238759
48-1043	0.0	0.0	0.327	root	2304	26146
170-1153	0.0	0.0	0.311	root	5221	7136
1006-755	0.0	0.0	0.321	root	1545	1545
135-1121	0.0	0.0	0.272	root	2022	2022
421-228	0.0	0.0	0.542	root	1692	42386
1035-781	0.0	0.0	0.48	root	1663	5351
943-699	0.0	0.0	0.407	root	1604	1604
387-198	0.0	0.0	0.317	root	1706	1706
325-141	0.0	0.0	0.386	root	3148	81037
1112-850	0.0	0.0	0.431	root	2271	2271
1196-926	0.0	0.0	0.299	root	1518	1518
315-132	0.0	0.0	0.326	root	2778	11045
983-734	0.0	0.0	0.408	root	2271	7432
461-264	0.0	0.0	0.576	root	1631	4965
539-334	0.0	0.0	0.568	root	4972	31296
668-450	0.0	0.0	0.262	root	2946	4736
268-1241	0.0	0.0	0.241	root	1696	1696
1156-890	0.0	0.0	0.316	root	4351	4351
1157-891	0.0	0.0	0.345	root	4109	4109
253-1228	0.0	0.0	0.258	root	1505	1505
505-303	0.0	0.0	0.533	root	1574	30081
1226-953	0.0	0.0	0.447	root	3209	5083
234-1210	0.0	0.0	0.753	root	2092	2092
966-719	0.0	0.0	0.365	root	2581	4350
532-328	0.0	0.0	0.381	root	2136	24942
941-697	0.0	0.0	0.442	root	3519	98710
574-366	0.0	0.0	0.43	root	2082	23933
1227-954	0.0	0.0	0.32	root	4472	7823
583-374	0.0	0.0	0.574	root	1580	3133
884-645	0.0	0.0	0.324	root	2217	18523
1275-998	0.0	0.0	0.341	root	1507	1507
1139-875	0.0	0.0	0.363	root	1713	3286
188-116	0.0	0.0	0.556	root	2439	65510
546-340	0.0	0.0	0.353	root	3840	30595
371-183	0.0	0.0	0.471	root	1992	39200
196-1177	0.0	0.0	0.441	root	4534	4534
1105-844	0.0	0.0	0.378	root	7782	11490
450-254	0.0	0.0	0.362	root	1784	43688
287-1259	0.0	0.0	0.468	root	1647	1647
687-468	0.0	0.0	0.445	root	1726	3283
168-1151	0.0	0.0	0.438	root	1722	1722
651-435	0.0	0.0	0.398	root	1901	11983
1169-901	0.0	0.0	0.475	root	1663	1663
155-113	9.247	0.0	0.376	Bacteria	1971	238803
1176-908	0.0	0.0	0.321	root	2971	5098
28-1025	0.0	0.0	0.558	root	1632	1632
885-646	0.0	0.0	0.386	root	1636	1636
176-1159	0.0	0.0	0.258	root	2704	2704
892-652	0.0	0.0	0.387	root	3285	12456
92-1083	0.0	0.0	0.654	root	1861	6384
439-244	0.0	0.0	0.413	root	2557	15153
33-102	22.49	0.0	0.303	Bacteria	2543	677634
1129-866	0.0	0.0	0.377	root	2875	2875
709-488	0.0	0.0	0.356	root	2138	2138
613-400	0.0	0.0	0.375	root	2079	18740
119-1107	0.0	0.0	0.377	root	1980	1980
430-236	0.0	0.0	0.324	root	1819	27938
654-438	0.0	0.0	0.351	root	2168	3807
878-63	0.0	0.0	0.144	root	1797	225654
378-18	2.821	0.0	0.627	Bacteria	2511	496940
493-293	0.0	0.0	0.684	root	2447	17946
714-492	0.0	0.0	0.527	root	7862	25065
51-1046	0.0	0.0	0.588	root	1987	1987
1222-94	0.0	0.0	0.351	root	2165	52158
295-1266	0.0	0.0	0.372	root	3123	3123
845-60	6.034	0.0	0.652	Bacteria	1845	448604
525-321	0.0	0.0	0.308	root	3710	538118
15-1013	0.0	0.0	0.362	root	1728	1728
174-1157	0.0	0.0	0.356	root	1850	1850
602-391	0.0	0.0	0.377	root	1548	9604
1198-928	0.0	0.0	0.377	root	1590	1590
163-1147	0.0	0.0	0.413	root	1714	1714
1013-761	0.0	0.0	0.556	root	1955	1955
1117-855	0.0	0.0	0.363	root	9401	17994
1069-811	0.0	0.0	0.436	root	2993	4798
75-1068	0.0	0.0	0.397	root	1924	1924
1048-793	0.0	0.0	0.398	root	5633	35304
383-194	10.34	0.0	0.443	Bacteria	1840	197991
409-217	4.166	0.0	0.441	root	1662	77429
711-48	0.0	0.0	0.217	root	1784	100006
1074-816	0.0	0.0	0.765	root	1570	4731
793-563	0.0	0.0	0.251	root	1784	10061
252-1227	0.0	0.0	0.369	root	1874	1874
1114-852	0.0	0.0	0.437	root	4016	4016
899-659	0.0	0.0	0.353	root	2773	9480
1135-871	0.0	0.0	0.366	root	2922	9497
243-1219	0.0	0.0	0.362	root	1987	1987
732-508	0.0	0.0	0.352	root	3635	6985
159-1143	0.0	0.0	0.319	root	7582	20791
238-1214	0.0	0.0	0.337	root	1676	1676
606-395	0.0	0.0	0.318	root	1627	1627
1032-779	0.0	0.0	0.344	root	1821	9058
826-593	0.0	0.0	0.292	root	3647	41087
198-1179	0.0	0.0	0.373	root	1830	1830
1185-916	0.0	0.0	0.391	root	3360	3360
322-139	0.0	0.0	0.62	root	6408	60619
552-346	0.0	0.0	0.287	root	1968	6574
1054-799	0.0	0.0	0.406	root	2307	2307
1110-849	0.0	0.0	0.516	root	1640	1640
466-269	3.827	0.0	0.455	Bacteria	1831	124603
452-256	2.194	0.0	0.544	Bacteria	1795	28011
363-176	0.0	0.0	0.525	root	15997	24323
984-735	0.0	0.0	0.394	root	2219	7552
442-247	0.0	0.0	0.444	root	2433	4105
494-294	0.0	0.0	0.522	root	2691	27284
226-1203	0.0	0.0	0.391	root	1515	1515
504-302	0.0	0.0	0.335	root	2202	3899
1038-784	0.0	0.0	0.385	root	5667	10048
834-5	44.17	1.013	0.468	Prevotella	2501	1659108
1240-966	0.0	0.0	0.448	root	1506	1506
1098-838	0.0	0.0	0.368	root	1560	1560
296-1267	0.0	0.0	0.504	root	1926	1926
638-423	0.0	0.0	0.345	root	9764	14601
96-1087	0.0	0.0	0.443	root	1730	1730
908-667	0.0	0.0	0.471	root	1679	1679
264-1238	0.0	0.0	0.443	root	3307	3307
704-483	0.0	0.0	0.394	root	1882	32695
215-1194	0.0	0.0	0.37	root	1880	3454
1239-965	0.0	0.0	0.491	root	2108	2108
1148-883	0.0	0.0	0.373	root	2005	5876
259-1233	0.0	0.0	0.543	root	1662	1662
682-463	0.0	0.0	0.555	root	1928	14869
1051-796	0.0	0.0	0.413	root	2065	2065
589-37	0.0	0.0	0.369	root	2278	134319
708-487	0.0	0.0	0.459	root	2967	15473
12-1010	0.0	0.0	0.468	root	4240	4240
701-480	0.0	0.0	0.593	root	2093	3740
562-355	0.0	0.0	0.538	root	2847	5382
255-122	0.0	0.0	0.505	root	2360	34689
166-114	0.0	0.0	0.478	root	2201	3941
1149-884	0.0	0.0	0.414	root	4188	4188
688-469	0.0	0.0	0.482	root	2132	7987
890-650	0.0	0.0	0.289	root	2254	2254
1027-774	0.0	0.0	0.683	root	2711	17080
280-1252	0.0	0.0	0.386	root	3024	3024
39-1035	0.0	0.0	0.307	root	1631	1631
891-651	0.0	0.0	0.348	root	2992	48947
978-72	11.14	0.0	0.411	Bacteria	2070	505273
416-223	9.352	0.0	0.415	Bacteria	2002	213973
209-1189	0.0	0.0	0.4	root	1509	1509
391-200	4.166	0.0	0.414	root	2155	243423
498-298	0.0	0.0	0.454	root	5815	45372
1120-858	0.0	0.0	0.518	root	2325	2325
1276-999	0.0	0.0	0.463	root	1600	1600
690-470	0.0	0.0	0.406	root	2939	26741
422-229	0.0	0.0	0.356	root	1672	23218
205-1185	0.0	0.0	0.351	root	1745	1745
1187-918	0.0	0.0	0.285	root	1746	9460
595-385	0.0	0.0	0.516	root	6037	19397
533-329	0.0	0.0	0.513	root	2216	2216
271-1244	0.0	0.0	0.669	root	1832	1832
1065-808	0.0	0.0	0.448	root	1506	1506
922-67	0.0	0.0	0.65	root	1729	541352
380-191	0.0	0.0	0.565	root	2012	31345
568-360	0.47	0.0	0.336	Bacteria	1814	104072
460-263	0.0	0.0	0.543	root	1918	49844
855-619	0.0	0.0	0.384	root	1515	1515
449-253	0.0	0.0	0.37	root	2242	2242
1257-981	0.0	0.0	0.363	root	2737	4336
26-1023	0.0	0.0	0.352	root	2994	2994
528-324	0.0	0.0	0.332	root	2310	38073
257-1231	0.0	0.0	0.399	root	6857	6857
1249-974	0.0	0.0	0.353	root	16394	19832
994-744	0.0	0.0	0.34	root	1927	6514
32-1029	0.0	0.0	0.355	root	2816	2816
263-1237	0.0	0.0	0.356	root	3262	3262
321-138	28.37	0.153	0.456	Bacteroidales	6248	1216697
689-46	5.485	0.0	0.458	Bacteria	1877	632899
727-503	0.0	0.0	0.641	root	1604	3154
1070-812	0.0	0.0	0.207	root	1780	12479
736-511	0.0	0.0	0.439	root	3382	149930
242-1218	0.0	0.0	0.445	root	4679	4679
281-1253	0.0	0.0	0.29	root	5064	5064
302-1272	0.0	0.0	0.32	root	1742	1742
477-279	0.0	0.0	0.39	root	2564	254734
6-1005	0.0	0.0	0.307	root	3660	5654
630-416	0.0	0.0	0.34	root	2914	8945
1136-872	0.0	0.0	0.34	root	2316	10520
1223-950	0.0	0.0	0.539	root	1637	1637
229-1206	0.0	0.0	0.481	root	1856	1856
519-316	0.0	0.0	0.411	root	1850	86446
1163-897	0.0	0.0	0.462	root	4989	13030
83-1075	0.0	0.0	0.612	root	2327	4184
436-241	0.0	0.0	0.533	root	2732	33774
169-1152	0.0	0.0	0.318	root	2201	2201
758-531	19.29	0.0	0.36	Bacteria	241245	320357
